Atmega328P,,,,
Item,Qty,Reference(s),Value,Datasheet
1,1,R,10k,RC0603JR-071KL
2,3,"C1, C2, C7",10uf,~
3,3,"C3, C5, C10",1uf,0603YD105KAT2A
4,4,"C4, C6, C8, C9",22pF,GRM1885C1H220JA01D
5,1,C11,0.1uf,C0603C104Z3VACTU
6,1,CN1,USB-B,USB-B
7,1,CN2,jumper,
8,1,CN3,CN_8pins_pwr,
9,1,CN4,CN_6pins,
10,1,CN5,CN_10pins,
11,1,CN6,CN_8pins,
12,1,CN7,MJ-179P,MJ-179P
13,2,"D1, D2",1S4,1S4
14,1,LED1,LED,
15,1,R1,330,RC0603J-330R
16,1,SW1,SKHHBY,SKHHBY
17,1,U1,NJM78M05FA,NJM78M05FA
18,1,U2,NJM2391DL1-33,NJM2391DL1-33
19,1,U3,CH340G,CH340G
20,1,U4,Atmega328P,Atmega328P
21,1,Y1,12MHz,HC49-12MHz
22,1,Y2,16MHz,HC49-16MHz
